StudiumID;StudentID;Studiumbeginn;Alter;Geschlecht;Studiengang;Leistungspunkte_zum_Abschluss;Kuendigungsdatum
31610028;31226703;06.06.2019;30;m;Fernstudium Bachelor of Arts Pflegepädagogik;120;10.12.2020
31631526;31237836;27.05.2019;37;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;10.12.2020
31647462;31245198;07.06.2019;22;m;Bachelor Wirtschaftspsychologie berufsbegleitend;180;10.12.2020
31631007;31237572;07.06.2019;36;f;Orientierungsstudium Bachelor of Arts E-Commerce;180;09.12.2020
31622499;31232943;11.05.2019;26;m;BA Luftverkehrsmanagement;180;05.12.2020
31631805;31237962;26.05.2019;29;m;BA Luftverkehrsmanagement;180;05.12.2020
31645311;31238187;15.06.2019;22;m;Bachelor Kindheitspädagogik berufsbegleitend;180;05.12.2020
31635033;31239588;01.06.2019;34;m;Orientierungsstudium Bachelor of Arts E-Commerce;180;05.12.2020
31648041;30603078;07.06.2019;25;f;Bachelor Wirtschaftspsychologie berufsbegleitend;180;05.12.2020
31665930;31253394;10.07.2019;30;m;Fernstudium Bachelor of Arts Physiotherapie;180;04.12.2020
31642452;31243101;10.07.2019;54;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;04.12.2020
31678452;31257630;20.07.2019;30;m;Fernstudium Bachelor of Arts Public Relations;180;04.12.2020
31628769;31236381;07.06.2019;25;f;Bachelor Personalmanagement berufsbegleitend;180;04.12.2020
31638003;31002465;07.06.2019;24;f;Bachelor Wirtschaftspsychologie berufsbegleitend;180;04.12.2020
31666722;31253748;11.07.2019;22;f;Personalmanagement;180;02.12.2020
31624809;31234266;21.06.2019;27;m;FS Mitarbeiterkurse;180;02.12.2020
31654866;30501129;27.06.2019;42;f;BA Luftverkehrsmanagement;180;01.12.2020
31640580;30601113;06.06.2019;25;f;BA Internationales Eventmanagement;180;01.12.2020
31627500;31235757;19.05.2019;35;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;29.11.2020
31634355;28276893;31.05.2019;33;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;29.11.2020
31632807;31238436;29.05.2019;24;m;Betriebswirt Gesundheitsmanagement;180;27.11.2020
31608690;31226082;08.05.2019;27;m;Betriebswirt Gesundheitsmanagement;180;26.11.2020
31627884;31235946;07.05.2019;49;f;BA Internationales Luftverkehrsmanagement;180;25.11.2020
31627887;31235946;07.05.2019;49;f;BA Internationales Luftverkehrsmanagement;180;25.11.2020
31627890;31235946;05.06.2019;49;f;BA Internationales Luftverkehrsmanagement;180;25.11.2020
31597122;30165075;07.05.2019;23;f;Fernstudium Bachelor of Arts Pflegepädagogik;120;25.11.2020
31661766;31251387;04.07.2019;34;f;Gesundheitsmanagement;180;24.11.2020
31620021;30606456;07.05.2019;38;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;22.11.2020
31664364;31252629;06.07.2019;26;f;Bachelor Personalmanagement berufsbegleitend;180;21.11.2020
31662552;31251786;05.07.2019;34;m;Fernstudium Bachelor of Arts Modemanagement;180;20.11.2020
31675302;31256082;17.07.2019;26;m;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;19.11.2020
31681785;30465954;28.07.2019;31;f;Orientierungsstudium Bachelor of Arts E-Commerce;180;18.11.2020
31623624;31233570;12.05.2019;27;f;Fernstudium Bachelor of Arts Modemanagement;180;17.11.2020
31614708;31228800;22.05.2019;29;f;Hospitality Management;180;17.11.2020
31624410;28143111;15.05.2019;26;m;Zusatzmodule DS;180;16.11.2020
31679310;31237422;21.07.2019;25;m;Betriebswirt Gesundheitsmanagement;180;14.11.2020
31639992;30621849;07.06.2019;26;f;Bachelor Wirtschaftspsychologie berufsbegleitend;180;14.11.2020
31660563;31251021;03.07.2019;27;f;International Hospitality Management;180;13.11.2020
31675167;31256013;17.07.2019;28;f;Fernstudium Bachelor of Science Kommunikationspsychologie;180;12.11.2020
31655025;31156386;27.06.2019;22;m;Fernstudium Bachelor of Arts Physiotherapie;180;11.11.2020
32068932;31258167;07.05.2019;29;f;Fernstudium Bachelor of Arts Sozialmanagement;180;11.11.2020
31647162;31245273;15.06.2019;33;m;Tourismuswirtschaft;180;10.11.2020
31649988;31246290;20.06.2019;52;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;09.11.2020
31620330;31231809;08.05.2019;39;m;Bachelor Informatik berufsbegleitend;180;09.11.2020
31646802;31245117;15.06.2019;24;f;Bachelor Personalmanagement berufsbegleitend;180;09.11.2020
31648665;31038984;17.06.2019;29;f;Zusatzmodule DS;180;08.11.2020
31682379;31259529;25.07.2019;29;m;Fernstudium Bachelor of Arts Pflegepädagogik;120;07.11.2020
31627101;31235511;07.07.2019;31;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;07.11.2020
31672599;31254783;12.07.2019;37;m;Tourismuswirtschaft;180;06.11.2020
31682175;31259400;25.07.2019;25;m;Personalmanagement;180;06.11.2020
31640430;30741711;07.06.2019;22;f;Bachelor Wirtschaftspsychologie berufsbegleitend;180;06.11.2020
31650027;31246128;21.06.2019;23;m;Betriebswirt Informationstechnik;180;05.11.2020
31610775;31227078;07.06.2019;23;m;Bachelor Personalmanagement berufsbegleitend;180;05.11.2020
