StudiumID;StudentID;Datum;ects_gathered
31587912;31216455;18.07.2019;2
31587912;31216455;22.07.2019;5
31587912;31216455;30.07.2019;5
31587912;31216455;10.11.2019;5
31587912;31216455;26.11.2019;5
31587912;31216455;10.12.2019;5
31587912;31216455;31.12.2019;5
31587912;31216455;09.03.2020;5
31587912;31216455;17.03.2020;5
31587912;31216455;22.03.2020;5
31587912;31216455;31.03.2020;5
31587912;31216455;21.04.2020;5
31587912;31216455;26.05.2020;5
31587966;31216476;17.07.2019;5
31587966;31216476;08.11.2019;5
31587966;31216476;25.11.2019;5
31587966;31216476;22.01.2020;5
31587966;31216476;06.03.2020;5
31587966;31216476;20.05.2020;5
31587966;31216476;22.07.2020;5
31587966;31216476;11.09.2020;5
31587966;31216476;26.11.2020;5
31587966;31216476;10.02.2021;5
31589379;31217232;26.12.2019;5
31589379;31217232;27.01.2020;5
31589379;31217232;12.03.2020;5
31589379;31217232;11.04.2020;15
31589379;31217232;11.06.2020;5
31589379;31217232;12.07.2020;5
31589379;31217232;27.07.2020;5
31589379;31217232;07.09.2020;5
31589379;31217232;16.11.2020;5
31589379;31217232;17.12.2020;5
31589379;31217232;16.01.2021;5
31589379;31217232;15.02.2021;5
31589781;31217415;04.09.2019;5
31589781;31217415;16.09.2019;5
31589781;31217415;27.12.2019;5
31589781;31217415;06.01.2020;5
31589781;31217415;03.02.2020;5
31589781;31217415;11.04.2020;5
31589781;31217415;10.08.2020;5
31589781;31217415;21.12.2020;5
31589823;27324969;31.08.2019;5
31589823;27324969;16.09.2019;5
31589823;27324969;29.11.2019;5
31589823;27324969;13.04.2020;5
31589823;27324969;16.04.2020;5
31589823;27324969;14.07.2020;5
31589823;27324969;01.08.2020;15
31589823;27324969;11.10.2020;3
31589823;27324969;12.10.2020;5
31589823;27324969;18.01.2021;5
31590009;30433332;06.07.2019;2
31590009;30433332;31.08.2019;2
31590009;30433332;18.09.2019;5
31590009;30433332;29.09.2019;2
31590009;30433332;03.11.2019;2
31590009;30433332;30.11.2019;5
31590009;30433332;04.01.2020;2
31590009;30433332;01.02.2020;5
31590009;30433332;23.04.2020;5
31590009;30433332;09.05.2020;5
31590009;30433332;19.05.2020;5
31590009;30433332;09.07.2020;5
31590009;30433332;23.08.2020;5
31590009;30433332;10.09.2020;5
31590009;30433332;10.10.2020;5
31590009;30433332;16.10.2020;5
31590009;30433332;09.01.2021;5
31590009;30433332;16.01.2021;5
31590009;30433332;06.02.2021;5
31590045;31217532;23.09.2019;10
31590045;31217532;20.03.2020;5
31590045;31217532;20.06.2020;5
31590408;31217688;18.09.2019;5
31590408;31217688;13.10.2019;5
31590408;31217688;20.11.2019;5
31590408;31217688;07.12.2019;5
31590408;31217688;11.01.2020;5
31590693;31217835;12.06.2019;5
31590693;31217835;14.06.2019;17
31590693;31217835;16.07.2019;5
31590693;31217835;02.09.2019;2
31590693;31217835;23.09.2019;2
31590693;31217835;14.10.2019;2
31590693;31217835;01.11.2019;5
31590693;31217835;04.11.2019;2
31590693;31217835;16.03.2020;5
31590693;31217835;21.03.2020;5
31590693;31217835;10.04.2020;5
31590693;31217835;13.04.2020;5
31590693;31217835;04.05.2020;5
31590693;31217835;29.06.2020;5
31590693;31217835;19.07.2020;5
31590693;31217835;16.09.2020;5
31590693;31217835;05.10.2020;5
31590693;31217835;16.10.2020;5
31590693;31217835;26.10.2020;5
31590693;31217835;14.12.2020;5
31590693;31217835;07.02.2021;5
31590693;31217835;08.02.2021;10
31590693;31217835;22.03.2021;5
31590714;31217847;02.09.2019;5
31590714;31217847;09.11.2019;5
31590714;31217847;09.01.2020;5
31590714;31217847;07.02.2020;5
31590714;31217847;16.02.2020;5
31590714;31217847;15.03.2020;5
31590714;31217847;30.05.2020;5
31590714;31217847;17.06.2020;5
31590714;31217847;10.07.2020;5
31590714;31217847;21.10.2020;5
31590714;31217847;18.03.2021;5
31590771;31217871;13.06.2019;5
31590771;31217871;13.07.2019;5
31590771;31217871;30.07.2019;5
31590771;31217871;19.08.2019;5
31590771;31217871;20.08.2019;5
31590771;31217871;03.09.2019;5
31590771;31217871;04.11.2019;5
31590771;31217871;13.12.2019;5
31590771;31217871;27.12.2019;5
31590771;31217871;07.02.2020;5
31590771;31217871;04.03.2020;5
31590771;31217871;06.04.2020;5
31590771;31217871;11.04.2020;45
31590771;31217871;04.05.2020;5
31590771;31217871;14.06.2020;10
31590771;31217871;05.08.2020;5
31590771;31217871;15.09.2020;5
31590771;31217871;16.11.2020;10
31590771;31217871;17.12.2020;5
31591008;31217973;26.05.2019;5
31591008;31217973;15.06.2019;5
31591008;31217973;19.08.2019;5
31591008;31217973;20.08.2019;5
31591008;31217973;19.10.2019;10
31591008;31217973;27.01.2020;5
31591008;31217973;22.03.2020;5
31591008;31217973;18.04.2020;5
31591008;31217973;09.08.2020;8
31591008;31217973;14.08.2020;2
31591008;31217973;17.12.2020;5
31591236;31218060;02.06.2019;5
31591236;31218060;28.07.2019;5
31591716;31218357;10.10.2019;5
31591716;31218357;29.11.2019;5
31591716;31218357;10.01.2020;5
31591716;31218357;11.03.2020;5
31591716;31218357;28.05.2020;5
31591716;31218357;11.07.2020;5
31591716;31218357;14.08.2020;5
31591716;31218357;04.10.2020;5
31591953;31218486;31.05.2019;5
31591953;31218486;15.06.2019;5
31591953;31218486;19.07.2019;5
31591953;31218486;21.07.2019;5
31591953;31218486;08.09.2019;5
31591953;31218486;16.10.2019;5
31591953;31218486;26.10.2019;5
31591953;31218486;27.11.2019;5
31591953;31218486;07.02.2020;5
31591953;31218486;19.02.2020;5
31591953;31218486;21.02.2020;5
31591953;31218486;26.02.2020;5
31591953;31218486;06.04.2020;5
31591953;31218486;15.05.2020;2
31591953;31218486;08.06.2020;5
31591953;31218486;23.06.2020;5
31591953;31218486;21.07.2020;5
31591953;31218486;31.08.2020;5
31591953;31218486;30.10.2020;5
31591953;31218486;04.12.2020;5
31591953;31218486;16.02.2021;5
31591953;31218486;21.02.2021;5
31591953;31218486;11.04.2021;5
31592064;31218564;08.06.2019;5
31592064;31218564;19.07.2019;5
31592064;31218564;19.08.2019;5
31592064;31218564;21.08.2019;5
31592064;31218564;04.10.2019;5
31592064;31218564;07.11.2019;5
31592064;31218564;04.12.2019;5
31592064;31218564;10.01.2020;5
31592064;31218564;21.02.2020;5
31592064;31218564;15.04.2020;5
31592064;31218564;27.05.2020;5
31592064;31218564;08.07.2020;5
31592064;31218564;15.07.2020;5
31592064;31218564;23.08.2020;5
31592064;31218564;26.08.2020;5
31592064;31218564;30.10.2020;5
31592064;31218564;06.11.2020;5
31592064;31218564;18.11.2020;5
31592064;31218564;26.12.2020;5
31592064;31218564;04.04.2021;5
31592118;31218594;30.09.2019;5
31592307;31218687;15.07.2019;5
31592307;31218687;09.09.2019;5
31592307;31218687;03.11.2019;5
31592307;31218687;19.01.2020;5
31592307;31218687;28.02.2020;5
31592307;31218687;24.05.2020;5
31592307;31218687;14.06.2020;5
31592307;31218687;31.08.2020;5
31592307;31218687;08.09.2020;5
31592307;31218687;05.10.2020;5
31592307;31218687;17.01.2021;5
31592307;31218687;07.02.2021;5
31592394;31218738;16.11.2019;5
31592463;31218774;14.06.2019;6
31592463;31218774;08.08.2019;2
31592463;31218774;19.08.2019;5
31592463;31218774;18.09.2019;5
31592463;31218774;08.12.2019;10
31592463;31218774;06.02.2020;3
31592463;31218774;08.02.2020;2
31592571;31218819;18.08.2019;5
31592571;31218819;20.11.2019;5
31592571;31218819;20.02.2020;5
31592571;31218819;21.04.2020;5
31592571;31218819;07.06.2020;10
31592571;31218819;10.07.2020;5
31592571;31218819;25.07.2020;5
31592571;31218819;09.08.2020;5
31592571;31218819;16.08.2020;5
31592571;31218819;04.09.2020;5
31592571;31218819;11.10.2020;10
31592571;31218819;02.02.2021;5
31592571;31218819;19.02.2021;5
31593018;31219041;12.07.2019;5
31593018;31219041;14.08.2019;5
31593018;31219041;20.11.2019;10
31593018;31219041;22.11.2019;5
31593018;31219041;05.01.2020;5
31593018;31219041;05.02.2020;5
31593018;31219041;15.02.2020;5
31593018;31219041;05.04.2020;5
31593018;31219041;03.05.2020;5
31593018;31219041;05.06.2020;5
31593018;31219041;04.07.2020;5
31593018;31219041;11.09.2020;5
31593018;31219041;11.11.2020;5
31593018;31219041;20.12.2020;5
31593018;31219041;21.01.2021;5
31593018;31219041;30.01.2021;5
31593018;31219041;21.02.2021;5
31593018;31219041;07.04.2021;5
31593318;31218759;16.09.2019;5
31593318;31218759;03.02.2020;5
31593318;31218759;13.04.2020;5
31593318;31218759;08.06.2020;5
31593318;31218759;14.07.2020;5
31593318;31218759;27.09.2020;5
31593318;31218759;09.10.2020;5
31593318;31218759;13.12.2020;5
31593318;31218759;28.03.2021;5
31593426;31219224;11.12.2019;10
31593426;31219224;16.12.2019;5
31593426;31219224;17.12.2019;5
31593426;31219224;12.02.2020;5
31593426;31219224;10.05.2020;5
31593426;31219224;21.06.2020;5
31593426;31219224;27.06.2020;5
31593426;31219224;06.07.2020;5
31593492;30305163;20.01.2020;5
31594026;31219452;15.08.2019;5
31594026;31219452;21.08.2019;25
31594026;31219452;02.09.2019;5
31594053;30330705;26.08.2019;5
31594053;30330705;23.12.2019;5
31594053;30330705;25.05.2020;5
31594053;30330705;25.06.2020;5
31594068;31219497;08.05.2019;5
31594068;31219497;01.07.2019;15
31594068;31219497;23.07.2019;5
31594068;31219497;20.09.2019;5
31594068;31219497;15.10.2019;5
31594068;31219497;21.10.2019;5
31594068;31219497;24.10.2019;5
31594068;31219497;06.12.2019;5
31594068;31219497;30.12.2019;5
